Module;Item;ItemType;Property;en-US;fr;nl;ko-KR;it;es;zh-CN;pt;de;en
TFGEOTAGFILES;FGeotagFiles.PctMain.TabGeoTagData.AdvPanel1.ChkRemoveExisting;TCheckBox;Caption;"First remove existing GPS tags from all groups";"Supprimer d'abord les étiquettes GPS existantes de tous les groupes";"Verwijder eerst alle bestaande GPS data uit alle groepen";;"Rimuovere prima i tag GPS esistenti da tutti i gruppi";"Primero elimine las etiquetas GPS existentes de todos los grupos";"首先从所有组中删除现有的 GPS 标签";"Primeiro, remova as marcas de GPS existentes de todos os grupos";"Zuerst vorhandene GPS-Tags aus allen Gruppen entfernen";
TFGEOTAGFILES;FGeotagFiles.PctMain.TabGeoTagData.AdvPanel1.CmbGeoTagMode;TComboBox;Items.Strings[0];"Coordinates (Lat, Lon) ";"Coordonnées (Lat, Lon) ";"Coördinaten (Lat, Lon) ";;"Coordinate (Lat, Lon) ";"Coordenadas (Lat, Lon) ";坐标（纬度、经度）;"Coordenadas (Lat, Lon) ";"Koordinaten (Lat, Lon) ";
TFGEOTAGFILES;FGeotagFiles.PctMain.TabGeoTagData.AdvPanel1.CmbGeoTagMode;TComboBox;Items.Strings[1];"Location (Country, Province, City)";"Localisation (pays, province, ville)";"Locatie (Land, Provincie, Plaats)";;"Posizione (Paese, Provincia, Città)";"Ubicación (país, provincia, ciudad)";地点（国家，省份，城市）;"Localização (país, província, cidade)";"Standort (Land, Provinz, Stadt)";
TFGEOTAGFILES;FGeotagFiles.PctMain.TabGeoTagData.AdvPanel1.CmbGeoTagMode;TComboBox;Items.Strings[2];"Coordinates and Location";"Coordonnées et lieu";"Coördinaten en Locatie";;"Coordinate e posizione";"Coordenadas y ubicación";坐标和位置;"Coordenadas e localização";"Koordinaten und Ort";
TFGEOTAGFILES;FGeotagFiles.PctMain.TabGeoTagData.AdvPanel1.CmbGeoTagMode;TComboBox;Text;"Location (Country, Province, City)";"Localisation (Pays, Province, Ville)";"Locatie (Land, Provincie, Plaats)";;"Posizione (Paese, Provincia, Città)";"Localización (País, Provincia, Ciudad)";地点（国家，省份，城市）;"Localização (país, província, cidade)";"Standort (Land, Provinz, Stadt)";
TFGEOTAGFILES;FGeotagFiles.PctMain.TabGeoTagData.AdvPanel1.Label1;TLabel;Caption;"Update in selected files:";"Mise à jour dans les fichiers sélectionnés :";"Werk bij in geselecteerde bestanden:";;"Aggiornamento nei file selezionati:";"Actualizar en los archivos seleccionados:";更新所选文件：;"Atualize nos arquivos selecionados:";"In ausgewählten Dateien aktualisieren:";
TFLOGWIN;FLogWin.ChkShowAll;TCheckBox;Caption;"Show all Commands";"Afficher toutes les commandes";"Toon alle commando's";;"Mostra tutti i comandi";"Mostrar todos los comandos";显示所有命令;"Mostrar todos os comandos";"Alle Befehle anzeigen";
TFLOGWIN;FLogWin.ChkShowAll;TCheckBox;Hint;"Show also non-critical commands to populate the Metadata and filelist?";"Afficher également les commandes non critiques pour remplir les métadonnées et la liste des fichiers ?";"Toon ook niet kritische commando's om de data voor de Metadata en de bestandslijst te vergaren?";;"Mostrare anche i comandi non critici per popolare i metadati e l'elenco dei file?";"¿Mostrar también comandos no críticos para rellenar los Metadatos y la lista de archivos?";还显示填充元数据和文件列表的非关键命令？;"Mostrar também comandos não críticos para preencher os metadados e a lista de arquivos?";"Auch unkritische Befehle zum Auffüllen der Metadaten und Dateiliste anzeigen?";
TFLOGWIN;FLogWin.PCTErrors.TabErrors;TTabSheet;Caption;Errors;Erreurs;Fouten;;Errori;Errores;错误;Erros;Fehler;
TFLOGWIN;FLogWin.PctExecs.TabExecs;TTabSheet;Caption;"Logged ExifTool commands";"Commandes ExifTool enregistrées";"Gelogde Exiftool commandos's";;"Comandi ExifTool registrati";"Comandos ExifTool registrados";"记录的 ExifTool 命令";"Comandos registrados do ExifTool";"Protokollierte ExifTool-Befehle";
TFLOGWIN;FLogWin.PnlMidle.PCTCommands.TabCommands;TTabSheet;Caption;"Executed commands";"Commandes exécutées";"Uitgevoerde commando's";;"Comandi eseguiti";"Comandos ejecutados";执行的命令;"Comandos executados";"Ausgeführte Befehle";
TFLOGWIN;FLogWin.PnlMidle.PCTCommands.TabCommands.PnlCommands.RadShowCmds;TRadioGroup;Caption;"Show commands as";"Afficher les commandes en tant que";"Toon commando's als";;"Mostra i comandi come";"Mostrar comandos como";显示命令为;"Mostrar comandos como";"Befehle anzeigen als";
TFLOGWIN;FLogWin.PnlMidle.PCTCommands.TabRestRequest;TTabSheet;Caption;"Rest request";"Rest requête";"Rest verzoek";;richiesta;"Rest solicite";"Rest 要求";Solicitação;"Rest Anfrage";
TFLOGWIN;FLogWin.PnlMidle.PCTCommands.TabRestRequest.PnlUrl.BtnUrl;TButton;Caption;"Open Url";"&Ouvrir l'url";"&Open Url";;"&Apri Url";"&Abrir Url";打开网址(&O);"&Apri Url";"&Url öffnen";
TFLOGWIN;FLogWin.PnlMidle.PCTOutput.TabOutput;TTabSheet;Caption;"Output from commands";"Sortie des commandes";"Uitvoer van commando's";;"Output dei comandi";"Salida de comandos";命令输出;"Saída de comandos";"Ausgabe von Befehlen";
TFLOGWIN;FLogWin.SaveDialogCmd;TSaveDialog;Filter;"Command Files|*.cmd|All|*.*";"Fichiers de commandes|*.cmd|Tous|*.*";"Command Files|*.cmd|All|*.*";;"File di comando|*.cmd|Tutti|*.*";"Archivos de comandos*.cmd|Todos|*.*";命令文件|*.cmd|全部|*.*;"Arquivos de comando|*.cmd|All|*.*";Befehlsdateien|*.cmd|Alle|*.*;
TFLOGWIN;FLogWin.SaveDialogPS;TSaveDialog;Filter;"Powershell files|*.ps1|All|*.*";"Fichiers Powershell|*.ps1|Tous|*.*";"Powershell files|*.ps1|All|*.*";;"File Powershell|*.ps1|Tutti|*.*";"Archivos Powershell|*.ps1|Todos|*.*";"Powershell 文件|*.ps1|全部|*.*";"Arquivos do Powershell|*.ps1|Todos|*.*";"Powershell files|*.ps1|All|*.*";
TFLOSSLESSROTATE;FLossLessRotate;TFLossLessRotate;Caption;"JPG: Lossless autorotate";"JPG : autorotation sans perte";"JPG: Auto rotatie zonder verlies";;"JPG: Autorotazione senza perdita";"JPG: Autorrecorte sin pérdida";JPG：无损自动旋转;"JPG: Auto-rotação sem perdas";"JPG: Verlustfreie automatische Drehung";
TFLOSSLESSROTATE;FLossLessRotate.AdvPanel1.CmbCrop;TComboBox;Items.Strings[0];"Do not crop";"Ne pas recadrer";"Niet bijsnijden";;"Non ritagliare";"No recortar";不要裁剪;"Não cortar";"Nicht zuschneiden";
TFLOSSLESSROTATE;FLossLessRotate.AdvPanel1.CmbCrop;TComboBox;Items.Strings[1];"Crop to multiple of 8";"Recadrer à un multiple de 8";"Bijsnijden op meervoud van 8";;"Ritagliare a un multiplo di 8";"Recortar a múltiplo de 8";"裁剪为 8 的倍数";"Cortar em um múltiplo de 8";"Auf Vielfaches von 8 zuschneiden";
TFLOSSLESSROTATE;FLossLessRotate.AdvPanel1.CmbCrop;TComboBox;Items.Strings[2];"Crop to multiple of 16";"Recadrer à un multiple de 16";"Bijsnijden op meervoud van 16";;"Ritaglia a un multiplo di 16";"Recortar a múltiplo de 16";"裁剪为 16 的倍数";"Cortar em um múltiplo de 16";"Auf Vielfaches von 16 zuschneiden";
TFLOSSLESSROTATE;FLossLessRotate.AdvPanel1.CmbCrop;TComboBox;Text;"Do not crop";"Ne pas recadrer";"Niet bijsnijden";;"Non ritagliare";"No recortar";不要裁剪;"Não cortar";"Nicht zuschneiden";
TFLOSSLESSROTATE;FLossLessRotate.AdvPanel1.CmbResetOrientation;TComboBox;Items.Strings[0];"No change";"Pas de changement";"Geen verandering";;"Nessuna modifica";"No recortar";不更改;"Sem alteração";"Keine Änderung";
TFLOSSLESSROTATE;FLossLessRotate.AdvPanel1.CmbResetOrientation;TComboBox;Text;"Reset Orientation";"Réinitialiser l'orientation";"Orientatie opnieuw instellen";;"Ripristino dell'orientamento";"Restablecer orientación";重置方向;"Redefinir orientação";"Ausrichtung zurücksetzen";
TFLOSSLESSROTATE;FLossLessRotate.AdvPanel1.CmbRotate;TComboBox;Items.Strings[0];"No rotate";"Pas de rotation";"Geen rotatie";;"Nessuna rotazione";"Sin rotación";不旋转;"Sem rotação";"Keine Drehung";
TFLOSSLESSROTATE;FLossLessRotate.AdvPanel1.CmbRotate;TComboBox;Items.Strings[1];"Auto rotate";"Rotation automatique";"Auto rotatie";;"Rotazione automatica";"Rotación automática";自动旋转;"Rotação automática";"Automatisch drehen";
TFLOSSLESSROTATE;FLossLessRotate.AdvPanel1.CmbRotate;TComboBox;Items.Strings[2];"90 degrees";"90 degrés";"90 graden";;"90 gradi";"90 grados";"90 度";"90 graus";"90 Grad";
TFLOSSLESSROTATE;FLossLessRotate.AdvPanel1.CmbRotate;TComboBox;Items.Strings[3];"180 degrees";"180 degrés";"180 graden";;"180 gradi";"180 grados";"180 度";"180 graus";"180 Grad";
TFLOSSLESSROTATE;FLossLessRotate.AdvPanel1.CmbRotate;TComboBox;Items.Strings[4];"270 degrees";"270 degrés";"270 graden";;"270 gradi";"270 grados";"270 度";"270 graus";"270 Grad";
TFLOSSLESSROTATE;FLossLessRotate.AdvPanel1.CmbRotate;TComboBox;Text;Rotate;Rotation;Roteren;;Ruotare;Girar;旋转;Girar;Rotieren;
TFLOSSLESSROTATE;FLossLessRotate.AdvPanel1.Label1;TLabel;Caption;"Rotate method";"Méthode de rotation";"Rotatie methode";;"Metodo di rotazione";"Método de rotación";旋转方式;"Método de rotação";Rotate-Methode;
TFLOSSLESSROTATE;FLossLessRotate.AdvPanel1.Label2;TLabel;Caption;"Set orientation";"Définir l'orientation";"Stel oriëntatie in";;"Imposta orientamento";"Establecer orientación";设置方向;"Definir orientação";"Ausrichtung festlegen";
TFLOSSLESSROTATE;FLossLessRotate.AdvPanel1.Label3;TLabel;Caption;"Crop image size to multilple of";"Recadrer la taille de l'image à un multiple de";"Snij afbeelding bij tot een meervoud van";;"Ritagliare le dimensioni dell'immagine a un multiplo di";"Recortar tamaño de imagen a múltiplo de";将图像尺寸裁剪为倍数;"Cortar o tamanho da imagem para um múltiplo de";"Bildgröße auf ein Vielfaches von zuschneiden";
TFLOSSLESSROTATE;FLossLessRotate.AdvPanel1.LblPreview;TLabel;Caption;"Select preview to rotate.";"Sélectionner l'aperçu à faire pivoter.";"Selecteer te roteren preview.";;"Selezionare l'anteprima da ruotare.";"Seleccionar vista previa para rotar.";选择要旋转的预览。;"Selecione a visualização para girar.";"Wählen Sie die zu drehende Vorschau aus.";
TFLOSSLESSROTATE;FLossLessRotate.AdvPanel1.LblPreview;TLabel;Hint;"Only the first selected will be used. Not required.";"Seul le premier sélectionné sera utilisé. Pas nécessaire.";"Alleen de 1e wordt gebruikt. Niet verplicht.";;"Verrà utilizzata solo la prima selezionata. Non è necessario.";"Sólo se utilizará la primera seleccionada. No es necesario.";"仅使用第一个选择的。 没有要求。";"Somente a primeira selecionada será usada. Não é necessário.";"Nur die erste ausgewählte wird verwendet. Nicht erforderlich.";
TFLOSSLESSROTATE;FLossLessRotate.AdvPanel1.LvPreviews.Columns[1];TListView;Caption;Preview;Aperçu;Preview;;Anteprima;"Vista previa";预览;Pré-visualização;Vorschau;
TFLOSSLESSROTATE;FLossLessRotate.AdvPanel1.LvPreviews.Columns[2];TListView;Caption;Size;Taille;Grootte;;Dimensione;Tamaño;大小;Tamanho;Größe;
TFLOSSLESSROTATE;FLossLessRotate.BtnCancel;TButton;Caption;Cancel;Annuler;Annuleer;;Annulla;Cancelar;取消;Cancelar;Abbrechen;
TFLOSSLESSROTATE;FLossLessRotate.BtnExecute;TButton;Caption;Execute;Exécuter;Uitvoeren;;Eseguire;Ejecutar;执行;Executar;Ausführen;
TFMAIN;FMain.ActLstTaskbar.TaskBarResetWindow;TAction;Caption;"Reset window sizes to default";"Rétablir la taille des fenêtres par défaut";"Stel vensters in op standaardwaarden.";;"Ripristinare le dimensioni predefinite delle finestre";"Restablecer el tamaño predeterminado de las ventanas";窗口大小重置为默认值;"Redefinir o tamanho das janelas para o padrão";"Fenstergrößen auf Standard zurücksetzen";
TFMAIN;FMain.ActLstTaskbar.TaskBarResetWindow;TAction;Hint;"Reset window sizes to default";"Rétablir la taille des fenêtres par défaut";"Stel vensters in op standaardwaarden.";;"Ripristina le dimensioni predefinite delle finestre";"Restablecer el tamaño predeterminado de las ventanas";窗口大小重置为默认值;"Redefinir os tamanhos das janelas para o padrão";"Fenstergrößen auf Standard zurücksetzen";
TFMAIN;FMain.AdvPageFilelist.AdvTabChart;TTabSheet;Caption;Chart;Graphique;Grafiek;;Grafico;Gráfico;图表;Gráfico;Grafik;
TFMAIN;FMain.AdvPageFilelist.AdvTabChart.AdvPanel1.AdvCheckBox_Legend;TCheckBox;Caption;Legend;Légende;Legenda;;Leggenda;Leyenda;图例;Legenda;Legende;
TFMAIN;FMain.AdvPageFilelist.AdvTabChart.AdvPanel1.AdvCheckBox_Subfolders;TCheckBox;Caption;"+ Sub folders";"+ Sous-dossiers";"+ Subfolders";;"+ Cartelle sec.";"+ Subcarpetas";"+ 子文件夹";"+ Subpastas";"+ Unterordner";
TFMAIN;FMain.AdvPageFilelist.AdvTabChart.AdvPanel1.AdvCheckBox_Zeroes;TCheckBox;Caption;"+ Zeroes";"+ Zéros";"+ Nullen";;"+ Zero";"+ Ceros";"+ 零";"+ Zeroes";"+ Nullen";
TFMAIN;FMain.AdvPageFilelist.AdvTabChart.AdvPanel1.AdvRadioGroup1;TRadioGroup;Caption;Files;Fichiers;Bestanden;;File;Archivos;文件;Arquivos;Dateien;
TFMAIN;FMain.AdvPageFilelist.AdvTabChart.AdvPanel1.AdvRadioGroup1;TRadioGroup;Items.Strings[0];Any;Tous;Ieder;;Qualsiasi;Todo;任意;Qualquer;Jede;
TFMAIN;FMain.AdvPageFilelist.AdvTabChart.AdvPanel1.AdvRadioGroup2;TRadioGroup;Caption;Value;Valeur;Waarde;;Valore;Valor;值;Valor;Wert;
TFMAIN;FMain.AdvPageFilelist.AdvTabChart.AdvPanel1.AdvRadioGroup2;TRadioGroup;Items.Strings[1];"FNumber [1.2-22]";"Nombre de FN [1.2-22]";"Diafragma [1.2-22]";;"Numero FN [1,2-22]";"Número FN [1.2-22]";"F 值 [1.2-22]";"FNúmero [1,2-22]";"FNumber [1.2-22]";
TFMAIN;FMain.AdvPageFilelist.AdvTabChart.AdvPanel1.SpeedBtnChartRefresh;TSpeedButton;Caption;Refresh;Rafraîchir;Ververs;;Aggiornare;Actualizar;刷新;Atualizar;Aktualisieren;
TFMAIN;FMain.AdvPageFilelist.AdvTabChart.ETChart;TChart;Title.Text.Strings[0];"Focal Length";"Longueur focale";Brandpuntsafstand;;"Lunghezza focale";"Longitud Focal";焦距;"Comprimento focal";Brennweite;
TFMAIN;FMain.AdvPageFilelist.AdvTabFilelist;TTabSheet;Caption;"File list";"Liste des fichiers";Bestandslijst;;"Elenco file";"Lista de archivos";文件列表;"Lista de arquivos";Dateiliste;
TFMAIN;FMain.AdvPageFilelist.AdvTabFilelist.AdvPanelETdirect.CmbETDirectMode;TComboBox;Hint;"Choose how the command(s) must be executed";"Choisissez comment la ou les commandes doivent être exécutées";"Kies hoe de commando's moeten worden uitgevoerd";;"Scegliere la modalità di esecuzione del/i comando/i";"Elija cómo deben ejecutarse los comandos";选择必须如何执行命令;"Escolha como o(s) comando(s) deve(m) ser executado(s)";"Wählen Sie, wie die Befehle ausgeführt werden müssen";
TFMAIN;FMain.AdvPageFilelist.AdvTabFilelist.AdvPanelETdirect.CmbETDirectMode;TComboBox;Items.Strings[1];Classic;Classique;Klassiek;;Classico;Clásico;经典;Clássico;Classic;
TFMAIN;FMain.AdvPageFilelist.AdvTabFilelist.AdvPanelETdirect.EditETcmdName;TLabeledEdit;EditLabel.Caption;"Command name:";"Nom de la commande :";Commandonaam:;;"Nome del comando:";"Nombre del comando:";命令名称：;"Nome do comando:";Befehlsname:;
TFMAIN;FMain.AdvPageFilelist.AdvTabFilelist.AdvPanelETdirect.EditETdirect;TLabeledEdit;EditLabel.Caption;"Command (press Enter to execute):";"Commande (appuyez sur Entrée pour l'exécuter) :";"Commando (druk op Enter om uit te voeren):";;"Comando (premere Invio per eseguire):";"Comando (pulse Intro para ejecutar):";"命令（按 Enter 键执行）：";"Comando (pressione Enter para executar):";"Befehl (zum Ausführen die Eingabetaste drücken):";
TFMAIN;FMain.AdvPageFilelist.AdvTabFilelist.AdvPanelETdirect.EditETdirect;TLabeledEdit;Hint;"Spaces in data require double quotes, double quotes in data requires prefixing it with a \. Examples -Make=""abde fghi""  -Make=""Abcde\""fghi""";"Les espaces dans les données nécessitent des guillemets doubles, les guillemets doubles dans les données nécessitent d'être préfixés par un \. Exemples -Make=""abde fghi"" -Make=""Abcde\""fghi""";"Spaties in data vereisen dubbele aanhalingstekens, zet een \ indien dubbele aanhalingstekens in data voorkomen. Voorbeelden: -Make=""abde fghi"" -Make=""Abcde\""fghi""";;"Gli spazi nei dati richiedono doppi apici, mentre i doppi apici nei dati devono essere preceduti da una \. Esempi -Make=""abde fghi"" -Make=""Abcde\""fghi""";"Los espacios en los datos requieren comillas dobles, las comillas dobles en los datos requieren anteponerles un \. Ejemplos -Make=""abde fghi"" -Make=""Abcde\""fghi""";"数据中的空格需要双引号，数据中的双引号需要在其前面加上 \ 前缀。 示例 -Make=""abde fghi"" -Make=""Abcde\""fghi""";"Espaços nos dados requerem aspas duplas, aspas duplas nos dados requerem prefixação com um \. Exemplos -Make=""abde fghi"" -Make=""Abcde\""fghi""";"Leerzeichen in Daten erfordern doppelte Anführungszeichen, doppelte Anführungszeichen in Daten erfordern das Präfix . Beispiele -Make=""abde fghi"" -Make="" Abcde""fghi""""""";
TFMAIN;FMain.AdvPageFilelist.AdvTabFilelist.AdvPanelETdirect.SpeedBtn_ETclear;TSpeedButton;Caption;Deselect;Désélectionner;Deselecteer;;Deselezionare;Deselec.;取消选择;Desmarcar;Aufheben;
TFMAIN;FMain.AdvPageFilelist.AdvTabFilelist.AdvPanelETdirect.SpeedBtn_ETdSetDef;TSpeedButton;Caption;"^ Default";"^ Défaut";"^ Standaard";;"^ Predefinito";"^ Predetermin";"^ 默认";"^ Padrão";"^ Standard";
TFMAIN;FMain.AdvPageFilelist.AdvTabFilelist.AdvPanelETdirect.SpeedBtn_ETedit;TSpeedButton;Caption;"Edit predefined";"Modifier les paramètres prédéfinis";Voorgedefinieerd;;"Modifica predefinita";"Editar pred.";编辑预定义;"Editar predefinido";Vordefiniert;
TFMAIN;FMain.AdvPageFilelist.AdvTabFilelist.AdvPanelETdirect.SpeedBtnETdirectAdd;TSpeedButton;Caption;"^ Add new";"^ Ajouter nouveau";"^ Nieuw";;"Aggiungi nuovo";"^ Añadir";"^ 添加新的";"^ Adicionar novo";"^ Neu";
TFMAIN;FMain.AdvPageFilelist.AdvTabFilelist.AdvPanelETdirect.SpeedBtnETdirectDel;TSpeedButton;Caption;"^ Delete";"^ Supprimer";"^ Verwijder";;Elimina;"^ Borrar";"^ 删除";"^ Excluir";"^ Löschen";
TFMAIN;FMain.AdvPageFilelist.AdvTabFilelist.AdvPanelETdirect.SpeedBtnETdirectReplace;TSpeedButton;Caption;"^ Replace";Remplacer;"^ Vervang";;Sostituire;Reemplazar;"^ 替换";"^ Substituir";"^ Ersetzen";
TFMAIN;FMain.AdvPageFilelist.AdvTabFilelist.AdvPanelETdirect.SpeedBtnShowLog;TSpeedButton;Caption;"Show Log window";"Fenêtre du journal";"Toon Log venster";;"Mostra finestra di registro";"Mostrar registros";显示日志窗口;"Mostrar janela de registro";Logfenster;
TFMAIN;FMain.AdvPageFilelist.AdvTabFilelist.TbFileList.TbFlExport;TToolButton;Caption;Export;Exporter;Exporteer;;Esportare;Exportar;出口;Exportar;Exportieren;
TFMAIN;FMain.AdvPageFilelist.AdvTabFilelist.TbFileList.TbFlFilter;TToolButton;Caption;Filter;Filtrer;Filter;;Filtro;Filtrar;过滤器;Filtrar;Filtern;
TFMAIN;FMain.AdvPageFilelist.AdvTabFilelist.TbFileList.TbFlRefresh;TToolButton;Caption;Refresh;Actualiser;Ververs;;Aggiornare;Actualizar;刷新;Atualizar;Aktualisieren;
TFMAIN;FMain.AdvPageFilelist.AdvTabFilelist.TbFileList.TbFlSelect;TToolButton;Caption;Select;Sélectionner;Selecteer;;Selezionare;Seleccionar;选择;Selecionar;Auswählen;
TFMAIN;FMain.AdvPageMetadata.AdvTabMetadata;TTabSheet;Caption;Metadata;Métadonnées;Metadata;;Metadati;Metadatos;元数据;Metadados;Metadaten;
TFMAIN;FMain.AdvPageMetadata.AdvTabMetadata.AdvPanelMetaBottom.SpeedBtnLarge;TSpeedButton;Caption;Large;Grande;Groot;;Grande;Ampliar;大号;Grande;Gross;
TFMAIN;FMain.AdvPageMetadata.AdvTabMetadata.AdvPanelMetaBottom.SpeedBtnQuickSave;TSpeedButton;Caption;&Save;Sauve.;"&Sla op";;&Salva;Guardar;&保存;&Salvar;&Speichern;
TFMAIN;FMain.AdvPageMetadata.AdvTabMetadata.AdvPanelMetaTop.EditFindMeta;TLabeledEdit;EditLabel.Caption;Find;Rche;Zoek;;Trova;Buscar;查找;Localizar;Suche;
TFMAIN;FMain.AdvPageMetadata.AdvTabMetadata.AdvPanelMetaTop.SpeedBtnALL;TSpeedButton;Caption;ALL;TOUT;ALLE;;TUTTI;TODO;全部;TUDO;ALLE;
TFMAIN;FMain.AdvPageMetadata.AdvTabMetadata.AdvPanelMetaTop.SpeedBtnCustom;TSpeedButton;Caption;Custom;Utilisateur;Maatwerk;;Personalizzato;Usario;自定义;Personalizar;Benutzer;
TFMAIN;FMain.AdvPageMetadata.AdvTabMetadata.AdvPanelMetaTop.SpeedBtnQuick;TSpeedButton;Caption;Workspace;"Espace travail";Werkruimte;;"Spazio di lavoro";"Espacio de trabajo";工作区;"Espaço de trabalho";Arbeitsbereich;
TFMAIN;FMain.AdvPageMetadata.AdvTabMetadata.MetadataList;TValueListEditor;TitleCaptions.Strings[0];"Tag name";"Nom de l'étiquette";Labelnaam;;"Nome del tag";"Nombre de etiqueta";标签名称;"Nome da tag";Tag-Name;
TFMAIN;FMain.AdvPageMetadata.AdvTabMetadata.MetadataList;TValueListEditor;TitleCaptions.Strings[1];Value;Valeur;Waarde;;Valore;Valor;值;Valor;Wert;
TFMAIN;FMain.AdvPageMetadata.AdvTabOSMMap;TTabSheet;Caption;"OSM Map";"Carte OSM";"OSM Kaart";;"Mappa OSM";"Mapa OSM";"OSM 地图";"Mapa OSM";"OSM Karte";
TFMAIN;FMain.AdvPageMetadata.AdvTabOSMMap.AdvPanel_MapBottom.EditMapBounds;TLabeledEdit;EditLabel.Caption;Bounds:;"Limites :";Gebied:;;Limiti:;Límites:;范围：;Limites:;Grenzen:;
TFMAIN;FMain.AdvPageMetadata.AdvTabOSMMap.AdvPanel_MapBottom.EditMapBounds;TLabeledEdit;Hint;"Coordinates of the visible area (South,West,North,East)";"Coordonnées de la zone visible (Sud, Ouest, Nord, Est)";"Coördinaten van het zichtbare gebied (Zuid,West,Noord,Oost)";;"Coordinate dell'area visibile (Sud,Ovest,Nord,Est)";"Coordenadas del área visible (Sur,Oeste,Norte,Este)";可见区域的坐标（南、西、北、东）;"Coordenadas da área visível (Sul, Oeste, Norte, Leste)";"Koordinaten des sichtbaren Bereichs (Süd,West,Nord,Ost)";
TFMAIN;FMain.AdvPageMetadata.AdvTabOSMMap.AdvPanel_MapBottom.SpeedBtn_Geotag;TSpeedButton;Caption;"Geotag files";Géolocalisation;"Geotag best.";;"File geotag";Geoetiqueta;地理标记文件;"Arquivos de geotags";"Geotag Dateien";
TFMAIN;FMain.AdvPageMetadata.AdvTabOSMMap.AdvPanel_MapTop.EditMapFind;TLabeledEdit;EditLabel.Caption;Find:;Rche:;Zoek:;;Trova:;Buscar:;查找:;Localizar:;Suche:;
TFMAIN;FMain.AdvPageMetadata.AdvTabOSMMap.AdvPanel_MapTop.EditMapFind;TLabeledEdit;Hint;"Use Ctrl+Click on the map to set the Lat/Lon values";"Utilisez Ctrl+Clic sur la carte pour définir les valeurs Lat/Lon.";"Gebruik Ctrl+Click op de kaart om de Lat/Lon waarden te bepalen";;"Utilizzare Ctrl+Click sulla mappa per impostare i valori Lat/Lon.";"Usa Ctrl+Click en el mapa para establecer los valores Lat/Lon";"使用 Ctrl+单击地图来设置纬度/经度值";"Use Ctrl+Clique no mapa para definir os valores Lat/Lon";"Verwenden Sie Strg+Klick auf die Karte, um die Lat/Lon-Werte festzulegen";
TFMAIN;FMain.AdvPageMetadata.AdvTabOSMMap.AdvPanel_MapTop.Spb_Forward;TSpeedButton;Caption;Forward>>;Avancer>>;"Vooruit >>";;Avanti>>;Adelante>>;向前>>;Avançar>>;Weiter>>;
TFMAIN;FMain.AdvPageMetadata.AdvTabOSMMap.AdvPanel_MapTop.Spb_GoBack;TSpeedButton;Caption;"<< Back";"<< Retour";"<< Terug";;"<< Indietro";"<< Atrás";"<< 向后";"<< Voltar";"<< Zurück";
TFMAIN;FMain.AdvPageMetadata.AdvTabOSMMap.AdvPanel_MapTop.SpeedBtn_GetLoc;TSpeedButton;Caption;"Get location";Emplacement;"Bepaal locatie";;"Ottieni posizione";Ubicación;获取位置;"Obter localização";"Standort Info";
TFMAIN;FMain.AdvPageMetadata.AdvTabOSMMap.AdvPanel_MapTop.SpeedBtn_GetLoc;TSpeedButton;Hint;"Sets to Lat/Lon values to the center of map";"Définit les valeurs Lat/Lon au centre de la carte";"Stelt de Lat/Lon waarden in op het midden van de kaart";;"Imposta i valori di Lat/Lon al centro della mappa.";"Establece los valores Lat/Lon en el centro del mapa";设置为地图中心的纬度/经度值;"Define os valores de Lat/Lon para o centro do mapa";"Setzt Lat/Lon-Werte auf die Mitte der Karte";
TFMAIN;FMain.AdvPageMetadata.AdvTabOSMMap.AdvPanel_MapTop.SpeedBtn_MapHome;TSpeedButton;Caption;Home;Accueil;Thuis;;Casa;Inicio;主页;Início;Start;
TFMAIN;FMain.AdvPageMetadata.AdvTabOSMMap.AdvPanel_MapTop.SpeedBtn_ShowOnMap;TSpeedButton;Caption;"Show on map";"Afficher sur carte";"Toon op kaart";;"Mostra sulla mappa";Mostrar;在地图上显示;"Mostrar no mapa";Anzeigen;
TFMAIN;FMain.AdvPageMetadata.AdvTabOSMMap.AdvPanelBrowser;TPanel;Caption;"Internet access not enabled in preferences";"L'accès à l'internet n'est pas activé dans les préférences";"Internettoegang niet ingeschakeld in voorkeuren";;"Accesso a Internet non abilitato nelle preferenze";"El acceso a Internet no está activado en las preferencias";喜好設定中未啟用網際網路存取;"Acesso à Internet não ativado nas preferências";"Internetzugang in den Einstellungen nicht aktiviert";
TFMAIN;FMain.AdvPanelBrowse.AdvPageBrowse.AdvTabBrowse;TTabSheet;Caption;Folders;Dossiers;Mappen;;Sfogliare;Carpetas;文件夹;Navegar;Verzeichnis;
TFMAIN;FMain.AdvPanelBrowse.AdvPagePreview;TTabControl;Tabs.Strings[0];Preview;Aperçu;Preview;;Anteprima;"Vista previa";预览;Pré-visualização;Vorschau;
TFMAIN;FMain.AdvPanelBrowse.AdvPagePreview;TTabControl;Tabs.Strings[1];Regions;Régions;Gebieden;;Regioni;Regiones;地区;Regiões;Regionen;
TFMAIN;FMain.AdvPanelBrowse.AdvPagePreview.PnlRegion.LvRegions;TListView;Hint;"Click + to define a region.";"Cliquez sur + pour définir une région.";"Klik op + om een regio te definiëren.";;"Fare clic su + per definire una regione.";"Haga clic en + para definir una región.";"单击 + 可定义一个区域。";"Clique em + para definir uma região.";"Klicken Sie auf +, um eine Region zu definieren.";
